LAT,LON,LEVEL,DATE,TIME,VALUE
42.636514,10.631511,0,20230507,12,290.7099
42.637422,10.661944,0,20230507,12,290.6717
42.638321,10.692378,0,20230507,12,290.5792
42.639211,10.722813,0,20230507,12,290.5503
42.640092,10.753249,0,20230507,12,290.5316
42.640964,10.783686,0,20230507,12,290.4366
42.641828,10.814124,0,20230507,12,290.406
42.642683,10.844563,0,20230507,12,290.3822
42.643529,10.875002,0,20230507,12,290.3228
42.644367,10.905443,0,20230507,12,290.288
42.645195,10.935884,0,20230507,12,290.2744
42.646015,10.966326,0,20230507,12,290.198
42.646826,10.99677,0,20230507,12,290.249
42.647629,11.027214,0,20230507,12,291.855
42.648422,11.057658,0,20230507,12,297.3343
42.649207,11.088104,0,20230507,12,301.6753
42.649983,11.118551,0,20230507,12,302.3781
42.650751,11.148998,0,20230507,12,304.5605
42.651509,11.179446,0,20230507,12,302.6073
42.652259,11.209895,0,20230507,12,306.6461
42.653,11.240345,0,20230507,12,303.2796
42.653733,11.270795,0,20230507,12,302.9001
42.654456,11.301246,0,20230507,12,301.6557
42.655171,11.331699,0,20230507,12,301.5131
42.655877,11.362151,0,20230507,12,305.0638
42.656575,11.392605,0,20230507,12,310.9361
42.657263,11.423059,0,20230507,12,312.2349
42.657943,11.453514,0,20230507,12,311.4786
42.658614,11.48397,0,20230507,12,312.5871
42.659276,11.514426,0,20230507,12,311.3292
42.65993,11.544884,0,20230507,12,310.3258
42.660574,11.575341,0,20230507,12,309.1383
42.66121,11.6058,0,20230507,12,308.6638
42.661837,11.636259,0,20230507,12,305.7285
42.662456,11.666719,0,20230507,12,303.3738
42.663066,11.697179,0,20230507,12,303.4909
42.663666,11.727641,0,20230507,12,304.9357
42.664259,11.758102,0,20230507,12,307.0416
42.664842,11.788565,0,20230507,12,302.676
42.665417,11.819028,0,20230507,12,302.508
42.665982,11.849492,0,20230507,12,305.2811
42.666539,11.879956,0,20230507,12,304.2999
42.667088,11.910421,0,20230507,12,304.7956
42.667627,11.940886,0,20230507,12,303.8593
42.668158,11.971352,0,20230507,12,302.401
42.66868,12.001818,0,20230507,12,306.6546
42.669193,12.032286,0,20230507,12,304.3746
42.669698,12.062753,0,20230507,12,305.7124
42.670193,12.093221,0,20230507,12,305.3533
42.67068,12.12369,0,20230507,12,310.3012
42.671159,12.154159,0,20230507,12,306.6249
42.671628,12.184629,0,20230507,12,307.8642
42.672089,12.215099,0,20230507,12,306.9636
